Network,Station,Median.Corr..Angle,Mean.Corr..Angle,Stddev.Corr..Angle,N.events
IV,MTRZ,4,0.9,9.46,10
IV,NARO,-3,-1.667,4.19,3
IV,NDIM,13.5,14.333,9.894,6
IV,OPPE,6,6.667,4.922,3
IV,ORZI,-7.5,-8.6,9.932,10
IV,OSSC,-10,-11,7.5,8
IV,PARC,-8,-7.778,5.731,9
IV,PESA,2,0,8.071,7
IV,PII,6.5,8.333,8.26,6
IV,PLMA,-4,-3.625,7.262,8
IV,PRMA,-7.5,-7.7,10.631,10
IV,PTCC,-7.5,-9.214,5.226,14
IV,QLNO,0,-2.889,8.116,9
IV,ROVR,4,4.9,9.235,10
IV,RSM2,0,-3.333,5.437,3
IV,SALO,7.5,2.75,8.743,8
IV,SARZ,-166,-166.6,5.389,5
IV,SEI,-2,0.286,9.924,7
IV,STAL,0,-1.818,6.351,11
IV,TEOL,-5.5,-4.7,12.345,10
IV,VARE,-2.5,-3,4.561,10
IV,ZCCA,160.5,161.6,10.317,10
IV,ZONE,-4,-5,2.16,3
MN,BLY,1,2.933,10.234,15
MN,BNI,0.5,-0.929,10.918,14
MN,TRI,2,1.818,7.802,11
MN,TUE,4,4.462,7.88,13
MN,VLC,-4.5,-4.583,8.578,12
NI,PURA,85,84.25,5.403,4
NI,VINO,-160,-92.333,85.835,12
OE,ABTA,-1,-0.353,7.73,17
OE,ARSA,-11.5,-11.375,6.499,16
OE,CONA,-1,0.429,6.115,14
OE,CSNA,-1,0.615,6.307,13
OE,DAVA,0,-0.312,7.824,16
OE,FETA,2,0.333,8.3,15
OE,KBA,-1,0.75,9.189,16
OE,MOA,-3.5,-1.125,9.347,16
OE,MOTA,-1,-0.8,7.476,15
OE,MYKA,-1,-0.125,7.68,16
OE,OBKA,-1.5,0.571,7.49,14
OE,RETA,3.5,0.857,8.717,14
OE,SOKA,-3.5,-2.188,9.187,16
OE,SQTA,2,0.429,8.449,14
OE,VIE,9,10.333,4.989,3
OE,WATA,-1,-0.4,7.228,15
OE,WTTA,0,0.571,6.522,14
OX,ACOM,-2,-1.364,8.637,11
OX,AGOR,0.5,0.5,2.5,2
OX,BAD,-8.5,-5.5,10.782,8
OX,BALD,138,140,9.899,3
OX,BOO,2,1.667,1.247,3
OX,CAE,-6,-5.111,5.466,9
OX,CGRP,-12.5,-16.25,7.573,12
OX,CIMO,1,-0.385,6.788,13
OX,CLUD,-6,-6.071,7.842,14
OX,DRE,-4,-4.455,4.659,11
OX,FUSE,0,-2,6.972,13
OX,MARN,-2,-0.444,5.946,9
OX,MLN,-3,-3.222,5.827,9
OX,MPRI,-5,-4.818,6.102,11
OX,PLRO,-4,-5.889,5.934,9
OX,PRED,-16,-14.667,8.3,9
OX,SABO,2.5,2.667,6.848,12
OX,VARN,-4,-5.818,8.178,11
OX,ZOU2,-5.5,-5.143,7.472,14
PL,KSP,-4,-3.8,6.41,15
PL,OJC,0,-0.308,7.858,13
RD,LOR,0,-0.6,6.009,15
RD,MFF,11,7.625,8.543,16
RD,MTLF,-2,-2.643,7.843,14
RD,ORIF,3,1.692,8.109,13
RD,PGF,5.5,6.571,6.565,14
RD,ROSF,2,0.5,7.632,16
RF,GEPF,-13.5,-13.5,13.5,2
SI,ABSI,-2,-4,5.621,5
SI,BOSI,-2,-2.636,3.938,11
SI,KOSI,0,0.286,5.006,7
SI,LUSI,1,-0.533,7.419,15
SI,MOSI,1.5,-1.25,7.949,16
SI,RISI,-6,-3.636,5.58,11
SI,ROSI,-3,-1.529,6.783,17
SK,MODS,1.5,-0.4,7.526,10
SK,VYHS,3,4.556,12.816,9
SK,ZST,-41,-7.6,131.173,5
SL,BOJS,-5,-3.267,8.07,15
SL,CADS,-2,-1.154,6.666,13
SL,CEY,1,0.2,5.671,15
SL,CRES,-3,-3.733,4.626,15
SL,CRNS,-4,0.636,8.906,11
SL,DOBS,-0.5,-1.5,6.874,10
SL,GBAS,-0.5,-1.5,5.889,14
SL,GBRS,-0.5,-0.4,8.686,10
SL,GCIS,-1.5,-1.214,3.004,14
SL,GORS,-5,-4.182,4.386,11
SL,GROS,-1.5,-0.7,10.08,10
SL,JAVS,-2,-3.267,7.206,15
SL,KNDS,4.5,3.429,8.934,14
SL,KOGS,-5,-4.125,5.048,16
SL,LJU,0,0.133,4.646,15
SL,MOZS,-5,-2.533,8.853,15
SL,PERS,-5,-4.357,8.474,14
SL,ROBS,-4,-1.364,7.189,11
SL,SKDS,-2,-0.769,3.964,13
SL,VISS,-3,-2.125,5.349,16
SL,VOJS,-5,-5.667,7.272,12
SL,ZALS,-16,-15.333,0.943,3
ST,DOSS,1,0.8,8.908,15
ST,GAGG,-0.5,-2.286,8.198,14
SX,TANN,-1,-1.412,5.872,17
TH,ABG1,-3.5,-2.333,9.195,12
TH,ANNA,-14,-14.455,5.663,11
TH,CRUX,-18,-19.083,5.377,12
TH,GRZ1,3.5,4.812,6.502,16
TH,HKWD,2,1.882,5.84,17
TH,HWTS,-1,1.385,8.445,13
TH,LEIB1,-5,-4.111,5.425,9
TH,MLFH,-4,-4.75,3.269,4
TH,MODW,-2,-2.154,4.912,13
TH,PLN,5,3.333,6.415,15
TH,TAUT,-4.5,-60.167,81.954,6
TH,THWA,-5,-5.5,3.571,4
TH,VITZ,-3,-2.667,3.037,6
TH,WESF,-2,-1.909,5.316,11
TH,ZEU,-33,-35.6,7.931,15
BW,MGS04,6,6.333,7.86,9
CR,PLIT,3,14,19.442,7
CR,VIRC,-11,-6.429,16.543,7
Z3,A001A,-8,-14.667,14.236,9
Z3,A002B,5,1.111,11.18,9
Z3,A003A,1,-2.444,14.863,9
Z3,A004A,4,5.25,4.323,4
Z3,A005B,3.5,9.2,12.718,10
Z3,A006A,5.5,-2.833,18.361,6
Z3,A007A,7.5,7.5,2.693,4
Z3,A008A,5,4.111,2.685,9
Z3,A009A,6,5.429,6.987,7
Z3,A010A,1.5,1,4.546,6
Z3,A011B,-1,2.889,12.013,9
Z3,A012A,14.5,14.5,10.5,2
Z3,A013A,9,0.667,16.977,3
Z3,A014A,4.5,3.125,4.226,8
Z3,A015A,1,2.889,9.871,9
Z3,A016A,-8.5,-9.167,13.107,6
Z3,A017A,3,4.333,3.399,3
Z3,A018A,10,10,0,1
Z3,A019A,1,3.889,18.976,9
Z3,A021A,-1,-1.8,11.712,10
Z3,A022A,7,3.889,20.475,9
Z3,A023A,0,-0.556,13.133,9
Z3,A024B,2,4.889,9.457,9
Z3,A025A,3,4.111,11.1,9
Z3,A026A,3,1.889,9.351,9
Z3,A027A,3,1.625,8.543,8
Z3,A028A,-1,-1,7,2
Z3,A029A,3,3.333,12.78,9
Z3,A030A,-45,-43.333,10.044,6
Z3,A031A,5,4.778,14.65,9
Z3,A032A,-17,-15,21.119,5
Z3,A033A,-7,-6.75,3.961,4
